episode        sum|w|         eps            gammma         last_action    last_reward    total_reward   avg_reward     num_steps      flag           iter           alpha          |w - w_old|    |w^T w - I|    
50             1.23e+01       5.62e-01       0.90           1              1.00           14.00          1.00           14             1              903            3.22e-04       6.38e-01       1.70e-07       
51             1.22e+01       5.55e-01       0.90           0              1.00           13.00          1.00           13             1              915            3.20e-04       1.29e-02       2.67e-07       
52             1.22e+01       5.49e-01       0.90           0              1.00           14.00          1.00           14             1              928            3.18e-04       1.06e-02       5.10e-07       
53             1.20e+01       5.42e-01       0.90           0              1.00           22.00          1.00           22             1              949            3.14e-04       2.74e-01       2.39e-07       
54             1.20e+01       5.36e-01       0.90           0              1.00           20.00          1.00           20             1              968            3.11e-04       5.63e-03       4.00e-07       
55             1.20e+01       5.30e-01       0.90           1              1.00           22.00          1.00           22             1              989            3.08e-04       1.31e-02       4.00e-07       
56             1.20e+01       5.24e-01       0.90           0              1.00           22.00          1.00           22             1              1010           3.05e-04       6.77e-03       5.37e-07       
57             1.20e+01       5.18e-01       0.90           1              1.00           14.00          1.00           14             1              1023           3.03e-04       4.39e-03       2.67e-07       
58             1.20e+01       5.12e-01       0.90           0              1.00           23.00          1.00           23             1              1045           3.00e-04       7.00e-03       5.63e-07       
59             1.20e+01       5.06e-01       0.90           0              1.00           27.00          1.00           27             1              1071           2.96e-04       7.05e-03       4.92e-07       
60             1.20e+01       5.00e-01       0.90           1              1.00           15.00          1.00           15             1              1085           2.95e-04       9.44e-03       1.70e-07       
61             1.20e+01       4.95e-01       0.90           1              1.00           15.00          1.00           15             1              1099           2.93e-04       5.11e-03       1.26e-07       
62             1.20e+01       4.89e-01       0.90           0              1.00           27.00          1.00           27             1              1125           2.89e-04       6.83e-03       1.80e-07       
63             1.20e+01       4.83e-01       0.90           1              1.00           23.00          1.00           23             1              1147           2.87e-04       6.70e-03       2.67e-07       
64             1.17e+01       4.78e-01       0.90           1              1.00           11.00          1.00           11             1              1157           2.85e-04       1.01e+00       2.67e-07       
65             9.18e+00       4.72e-01       0.90           1              1.00           15.00          1.00           15             1              1171           2.84e-04       1.93e+00       1.25e-07       
66             9.73e+00       4.67e-01       0.90           0              1.00           15.00          1.00           15             1              1185           2.82e-04       1.94e+00       2.47e-07       
67             9.79e+00       4.61e-01       0.90           1              1.00           25.00          1.00           25             1              1209           2.79e-04       2.91e-02       3.63e-07       
68             9.52e+00       4.56e-01       0.90           1              1.00           12.00          1.00           12             1              1220           2.78e-04       3.83e-01       3.38e-07       
69             8.51e+00       4.51e-01       0.90           0              1.00           21.00          1.00           21             1              1240           2.76e-04       2.11e+00       3.37e-07       
70             8.46e+00       4.46e-01       0.90           0              1.00           10.00          1.00           10             1              1249           2.75e-04       4.45e-02       2.70e-07       
71             8.58e+00       4.41e-01       0.90           0              1.00           14.00          1.00           14             1              1262           2.74e-04       9.48e-02       1.21e-07       
72             1.09e+01       4.36e-01       0.90           1              1.00           14.00          1.00           14             1              1275           2.72e-04       1.78e+00       2.38e-07       
73             1.05e+01       4.31e-01       0.90           1              1.00           12.00          1.00           12             1              1286           2.71e-04       2.00e+00       4.93e-07       
74             1.08e+01       4.26e-01       0.90           0              1.00           16.00          1.00           16             1              1301           2.70e-04       5.82e-02       3.82e-07       
75             1.11e+01       4.21e-01       0.90           1              1.00           14.00          1.00           14             1              1314           2.68e-04       1.97e+00       3.21e-07       
76             1.06e+01       4.16e-01       0.90           1              1.00           14.00          1.00           14             1              1327           2.67e-04       1.99e+00       5.96e-08       
77             1.07e+01       4.11e-01       0.90           0              1.00           12.00          1.00           12             1              1338           2.66e-04       3.53e-02       8.04e-07       
78             1.08e+01       4.06e-01       0.90           1              1.00           15.00          1.00           15             1              1352           2.65e-04       3.24e-02       1.26e-07       
79             1.10e+01       4.02e-01       0.90           0              1.00           14.00          1.00           14             1              1365           2.63e-04       4.27e-02       4.93e-07       
80             1.10e+01       3.97e-01       0.90           0              1.00           15.00          1.00           15             1              1379           2.62e-04       3.13e-02       2.49e-07       
81             1.14e+01       3.93e-01       0.90           0              1.00           16.00          1.00           16             1              1394           2.61e-04       1.30e-01       2.67e-07       
82             1.14e+01       3.88e-01       0.90           0              1.00           12.00          1.00           12             1              1405           2.60e-04       1.86e-02       2.70e-07       
83             1.14e+01       3.84e-01       0.90           0              1.00           12.00          1.00           12             1              1416           2.59e-04       1.54e-02       3.77e-07       
84             1.14e+01       3.79e-01       0.90           0              1.00           15.00          1.00           15             1              1430           2.58e-04       1.29e-02       2.67e-07       
85             1.15e+01       3.75e-01       0.90           0              1.00           17.00          1.00           17             1              1446           2.56e-04       2.02e-02       3.65e-07       
86             1.15e+01       3.71e-01       0.90           1              1.00           15.00          1.00           15             1              1460           2.55e-04       8.49e-03       1.26e-07       
87             1.15e+01       3.66e-01       0.90           0              1.00           15.00          1.00           15             1              1474           2.54e-04       9.67e-03       1.03e-07       
88             1.15e+01       3.62e-01       0.90           0              1.00           15.00          1.00           15             1              1488           2.53e-04       1.44e-02       4.88e-07       
89             1.15e+01       3.58e-01       0.90           0              1.00           12.00          1.00           12             1              1499           2.52e-04       1.14e-02       2.42e-07       
90             1.16e+01       3.54e-01       0.90           0              1.00           14.00          1.00           14             1              1512           2.51e-04       2.94e-02       4.21e-08       
91             1.16e+01       3.50e-01       0.90           0              1.00           17.00          1.00           17             1              1528           2.49e-04       9.23e-03       2.70e-07       
92             1.16e+01       3.46e-01       0.90           0              1.00           12.00          1.00           12             1              1539           2.48e-04       8.34e-03       2.95e-07       
93             8.50e+00       3.42e-01       0.90           0              1.00           10.00          1.00           10             1              1548           2.48e-04       1.85e+00       1.74e-07       
94             8.50e+00       3.38e-01       0.90           1              1.00           30.00          1.00           30             1              1577           2.46e-04       5.71e-03       3.37e-07       
95             8.50e+00       3.34e-01       0.90           1              1.00           34.00          1.00           34             1              1610           2.43e-04       6.35e-03       4.48e-07       
96             8.51e+00       3.30e-01       0.90           1              1.00           53.00          1.00           53             1              1662           2.39e-04       9.48e-03       4.21e-08       
97             8.52e+00       3.26e-01       0.90           1              1.00           39.00          1.00           39             1              1700           2.37e-04       7.19e-03       6.76e-07       
98             8.53e+00       3.23e-01       0.90           0              1.00           40.00          1.00           40             1              1739           2.34e-04       7.05e-03       1.26e-07       
99             8.54e+00       3.19e-01       0.90           1              1.00           28.00          1.00           28             1              1766           2.32e-04       5.04e-03       2.80e-07       
100            8.55e+00       3.15e-01       0.90           1              1.00           40.00          1.00           40             1              1805           2.30e-04       6.94e-03       3.37e-07       
101            8.56e+00       3.12e-01       0.90           1              1.00           33.00          1.00           33             1              1837           2.28e-04       5.76e-03       6.96e-07       
102            8.58e+00       3.08e-01       0.90           0              1.00           83.00          1.00           83             1              1919           2.23e-04       1.47e-02       1.46e-07       
103            8.59e+00       3.05e-01       0.90           1              1.00           42.00          1.00           42             1              1960           2.21e-04       7.00e-03       4.21e-08       
104            8.62e+00       3.01e-01       0.90           1              1.00           87.00          1.00           87             1              2046           2.16e-04       1.51e-02       1.19e-07       
105            8.63e+00       2.98e-01       0.90           1              1.00           60.00          1.00           60             1              2105           2.13e-04       9.40e-03       3.37e-07       
106            8.63e+00       2.94e-01       0.90           1              1.00           14.00          1.00           14             1              2118           2.13e-04       2.89e-03       5.96e-08       
107            8.65e+00       2.91e-01       0.90           1              1.00           76.00          1.00           76             1              2193           2.09e-04       1.17e-02       2.49e-07       
108            8.65e+00       2.88e-01       0.90           0              1.00           27.00          1.00           27             1              2219           2.08e-04       4.30e-03       2.67e-07       
109            8.66e+00       2.84e-01       0.90           1              1.00           39.00          1.00           39             1              2257           2.06e-04       5.94e-03       1.26e-07       
110            8.67e+00       2.81e-01       0.90           0              1.00           28.00          1.00           28             1              2284           2.05e-04       4.28e-03       2.42e-07       
111            8.68e+00       2.78e-01       0.90           1              1.00           61.00          1.00           61             1              2344           2.02e-04       9.06e-03       2.98e-07       
112            8.69e+00       2.75e-01       0.90           0              1.00           58.00          1.00           58             1              2401           2.00e-04       9.02e-03       3.37e-07       
113            8.69e+00       2.71e-01       0.90           1              1.00           33.00          1.00           33             1              2433           1.99e-04       4.94e-03       3.37e-07       
114            8.70e+00       2.68e-01       0.90           1              1.00           22.00          1.00           22             1              2454           1.98e-04       7.13e-03       2.31e-07       
115            8.71e+00       2.65e-01       0.90           1              1.00           34.00          1.00           34             1              2487           1.97e-04       4.97e-03       1.74e-07       
116            8.72e+00       2.62e-01       0.90           1              1.00           66.00          1.00           66             1              2552           1.94e-04       9.23e-03       1.93e-07       
117            8.72e+00       2.59e-01       0.90           1              1.00           55.00          1.00           55             1              2606           1.92e-04       7.64e-03       3.86e-07       
118            8.74e+00       2.56e-01       0.90           1              1.00           43.00          1.00           43             1              2648           1.91e-04       8.87e-03       4.30e-07       
119            8.75e+00       2.53e-01       0.90           1              1.00           49.00          1.00           49             1              2696           1.89e-04       6.81e-03       2.15e-07       
120            8.75e+00       2.50e-01       0.90           0              1.00           50.00          1.00           50             1              2745           1.87e-04       6.77e-03       3.10e-07       
121            8.76e+00       2.47e-01       0.90           0              1.00           38.00          1.00           38             1              2782           1.86e-04       5.17e-03       3.10e-07       
122            8.77e+00       2.45e-01       0.90           1              1.00           35.00          1.00           35             1              2816           1.85e-04       4.74e-03       7.30e-08       
123            8.77e+00       2.42e-01       0.90           1              1.00           35.00          1.00           35             1              2850           1.84e-04       4.78e-03       3.40e-07       
124            8.77e+00       2.39e-01       0.90           1              1.00           26.00          1.00           26             1              2875           1.83e-04       3.55e-03       6.43e-07       
125            8.78e+00       2.36e-01       0.90           1              1.00           44.00          1.00           44             1              2918           1.82e-04       5.83e-03       3.37e-07       
126            8.78e+00       2.34e-01       0.90           1              1.00           62.00          1.00           62             1              2979           1.80e-04       7.98e-03       3.84e-07       
127            8.79e+00       2.31e-01       0.90           1              1.00           56.00          1.00           56             1              3034           1.78e-04       7.13e-03       2.67e-07       
128            8.80e+00       2.28e-01       0.90           1              1.00           113.00         1.00           113            1              3146           1.75e-04       1.39e-02       1.46e-07       
129            8.81e+00       2.26e-01       0.90           1              1.00           79.00          1.00           79             1              3224           1.73e-04       9.64e-03       2.42e-07       
130            8.81e+00       2.23e-01       0.90           1              1.00           29.00          1.00           29             1              3252           1.72e-04       3.62e-03       1.26e-07       
131            8.81e+00       2.20e-01       0.90           1              1.00           32.00          1.00           32             1              3283           1.72e-04       3.96e-03       4.30e-07       
132            8.82e+00       2.18e-01       0.90           0              1.00           87.00          1.00           87             1              3369           1.69e-04       1.05e-02       6.11e-07       
133            8.83e+00       2.15e-01       0.90           1              1.00           93.00          1.00           93             1              3461           1.67e-04       1.10e-02       1.19e-07       
134            8.83e+00       2.13e-01       0.90           0              1.00           31.00          1.00           31             1              3491           1.66e-04       3.73e-03       3.82e-07       
